train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,button_press.keys,button_press.rt,date,frameRate,expName,session,participant,
0,0,0,0,,,2018_Sep_27_1132,60.3593168366,finger_tap,001,1,
1,0,1,0,,,2018_Sep_27_1132,60.3593168366,finger_tap,001,1,
2,0,2,0,,,2018_Sep_27_1132,60.3593168366,finger_tap,001,1,
3,0,3,0,,,2018_Sep_27_1132,60.3593168366,finger_tap,001,1,
4,0,4,0,,,2018_Sep_27_1132,60.3593168366,finger_tap,001,1,
5,0,5,0,,,2018_Sep_27_1132,60.3593168366,finger_tap,001,1,
6,0,6,0,,,2018_Sep_27_1132,60.3593168366,finger_tap,001,1,
7,0,7,0,,,2018_Sep_27_1132,60.3593168366,finger_tap,001,1,
8,0,8,0,,,2018_Sep_27_1132,60.3593168366,finger_tap,001,1,
9,0,9,0,,,2018_Sep_27_1132,60.3593168366,finger_tap,001,1,
10,0,10,0,,,2018_Sep_27_1132,60.3593168366,finger_tap,001,1,
11,0,11,0,,,2018_Sep_27_1132,60.3593168366,finger_tap,001,1,
12,0,12,0,,,2018_Sep_27_1132,60.3593168366,finger_tap,001,1,
13,0,13,0,,,2018_Sep_27_1132,60.3593168366,finger_tap,001,1,
14,0,14,0,,,2018_Sep_27_1132,60.3593168366,finger_tap,001,1,
15,0,15,0,,,2018_Sep_27_1132,60.3593168366,finger_tap,001,1,
16,0,16,0,,,2018_Sep_27_1132,60.3593168366,finger_tap,001,1,
